month,sales,onpromotion,is_holiday,month_num,year,lag_1,lag_12,rolling_3,rolling_6
2014-01-01,291664.751474,0,33.0,1,2014,202431.688007,156864.1990045,222062.01716633336,188643.42759038333
2014-02-01,159458.4989229,0,0.0,2,2014,291664.751474,129814.332014,217851.64613463334,190355.95858464998
2014-03-01,273914.544883,0,99.0,3,2014,159458.4989229,151666.227994,241679.26509330003,210662.46939515
2014-04-01,173138.393132,0,165.0,4,2014,273914.544883,155848.4939585,202170.4789793,212116.24807281667
2014-05-01,181408.251539,0,165.0,5,2014,173138.393132,156870.205004,209487.06318466668,213669.35465964998
2014-06-01,197484.4634125,0,363.0,6,2014,181408.251539,165447.640999,184010.36936116664,212844.81722723332
2014-07-01,298349.5600154,1795,396.0,7,2014,197484.4634125,163428.631014,225747.42498896667,213958.95198413334
2014-08-01,174307.739036,1086,132.0,8,2014,298349.5600154,149183.3129573,223380.58748796667,216433.8253363167
2014-09-01,287544.8810015,1673,33.0,9,2014,174307.739036,152075.48002,253400.72668430003,218705.5480227333
2014-10-01,298740.6875,2051,99.0,10,2014,287544.8810015,164415.721066,253531.10251250002,239639.26375073334
2014-11-01,275190.996999,1729,264.0,11,2014,298740.6875,172089.61201799999,287158.8551668334,255269.72132740004
2014-12-01,342458.576984,2243,363.0,12,2014,275190.996999,202431.688007,305463.4204943333,279432.0735893167
2015-01-01,193193.00406099999,1181,33.0,1,2015,342458.576984,291664.751474,270280.85934799997,261905.98093025
2015-02-01,164815.449915,960,66.0,2,2015,193193.00406099999,159458.4989229,233489.01031999997,260323.93274341666
2015-03-01,196758.1440045,985,33.0,3,2015,164815.449915,273914.544883,184922.19932683333,245192.8099105833
2015-04-01,189540.112038,1137,165.0,4,2015,196758.1440045,173138.393132,183704.56865250002,226992.71400024998
2015-05-01,209963.913932,1371,165.0,5,2015,189540.112038,181408.251539,198754.0566581667,216121.53348908332
2015-06-01,323477.6191135,2167,132.0,6,2015,209963.913932,197484.4634125,240993.8816945,212958.04051066667
2015-07-01,317279.998134,2596,165.0,7,2015,323477.6191135,298349.5600154,283573.8437265,233639.20618950002
2015-08-01,293014.3010025,2139,132.0,8,2015,317279.998134,174307.739036,311257.3060833333,255005.68137074998
2015-09-01,311629.607129,2321,33.0,9,2015,293014.3010025,287544.8810015,307307.9687551667,274150.92522483337
2015-10-01,314633.107941,2157,66.0,10,2015,311629.607129,298740.6875,306425.6720241667,294999.75787533337
2015-11-01,290365.7809585,2524,297.0,11,2015,314633.107941,275190.996999,305542.83200950007,308400.06904641667
2015-12-01,363951.066009,2678,330.0,12,2015,290365.7809585,342458.576984,322983.3183028333,315145.643529
2016-01-01,313698.498204,2469,33.0,1,2016,363951.066009,193193.00406099999,322671.78172383335,314548.726874
2016-02-01,288534.509892,3313,66.0,2,2016,313698.498204,164815.449915,322061.358035,313802.09502225
2016-03-01,313689.7897785,3275,66.0,3,2016,288534.509892,196758.1440045,305307.5992915,314145.45879716665
2016-04-01,364339.344039,4279,627.0,4,2016,313689.7897785,189540.112038,322187.88123649993,322429.83148016664
2016-05-01,344540.015203,4626,726.0,5,2016,364339.344039,209963.913932,340856.3830068333,331458.87052091665
2016-06-01,329387.904879,5316,132.0,6,2016,344540.015203,323477.6191135,346089.0880403333,325698.34366591665
2016-07-01,316886.2290725,4484,198.0,7,2016,329387.904879,317279.998134,330271.3830515,326229.632144
2016-08-01,298315.684973,4270,165.0,8,2016,316886.2290725,293014.3010025,314863.2729748333,327859.8279908334
2016-09-01,301010.831889,4636,33.0,9,2016,298315.684973,311629.607129,305404.2486448334,325746.66834258335
2016-10-01,324185.842051,6586,66.0,10,2016,301010.831889,314633.107941,307837.45297100005,319054.41801125003
2016-11-01,312168.9959735,8400,297.0,11,2016,324185.842051,290365.7809585,312455.22330450005,313659.2481396667
2016-12-01,380197.934032,9849,330.0,12,2016,312168.9959735,363951.066009,338850.9240188333,322127.5863318333
2017-01-01,341798.959606,6385,66.0,1,2017,380197.934032,313698.498204,344721.9632038334,326279.70808741666
2017-02-01,291929.7760365,5155,66.0,2,2017,341798.959606,288534.509892,337975.5565581667,325215.3899313333
2017-03-01,358949.901913,5638,33.0,3,2017,291929.7760365,313689.7897785,330892.8791851666,334871.901602
2017-04-01,316348.124899,5804,198.0,4,2017,358949.901913,364339.344039,322409.2676161667,333565.61541
2017-05-01,328151.918766,6592,198.0,5,2017,316348.124899,344540.015203,334483.31519266666,336229.4358754167
2017-06-01,346109.645122,6969,132.0,6,2017,328151.918766,329387.904879,330203.2295956667,330548.05439041666
2017-07-01,336137.2919407,6987,165.0,7,2017,346109.645122,316886.2290725,336799.6186095667,329604.44311286666
2017-08-01,143508.904205,2393,132.0,8,2017,336137.2919407,298315.684973,275251.9470892333,304867.63114094996
